Nauru;NRU;9880;
New Zealand;NZL;4259800;
OECD members;OED;1274522708;
Oman;OMN;2750956;
Other small states;OSS;24762404;
Pakistan;PAK;171648984;
Panama;PAN;3516204;
Peru;PER;28562321;
Philippines;PHL;90901967;
Palau;PLW;18708;
Papua New Guinea;PNG;6976200;
Poland;POL;38125759;
Pre-demographic dividend;PRE;691447634;
Puerto Rico;PRI;3760866;
Korea, Dem. People's Rep.;PRK;24310143;
Portugal;PRT;10558177;
Paraguay;PRY;6081296;
West Bank and Gaza;PSE;3591977;
Pacific island small states;PSS;2157454;
Post-demographic dividend;PST;1064394135;
French Polynesia;PYF;264064;
Qatar;QAT;1436670;
Romania;ROU;20537875;
Russian Federation;RUS;142742366;
Rwanda;RWA;9524532;
South Asia;SAS;1592010815;
Saudi Arabia;SAU;25888535;
Sudan;SDN;33060844;
Senegal;SEN;12004700;
Singapore;SGP;4839396;
Solomon Islands;SLB;503366;
Sierra Leone;SLE;6133599;
El Salvador;SLV;6131767;
San Marino;SMR;30434;
Somalia;SOM;11397188;
Serbia;SRB;7350222;
Sub-Saharan Africa (excluding high income);SSA;822858534;
South Sudan;SSD;8736932;
Sub-Saharan Africa;SSF;822945490;
Small states;SST;33798831;
Sao Tome and Principe;STP;171122;
Suriname;SUR;517122;
Slovak Republic;SVK;5379233;
Slovenia;SVN;2021316;
Sweden;SWE;9219637;
Eswatini;SWZ;1049948;
Sint Maarten (Dutch part);SXM;33964;
Seychelles;SYC;86956;
Syrian Arab Republic;SYR;20664037;
Turks and Caicos Islands;TCA;31200;
Chad;TCD;11183589;
East Asia & Pacific (IDA & IBRD countries);TEA;1913718217;
Europe & Central Asia (IDA & IBRD countries);TEC;436807654;
Togo;TGO;6083417;
Thailand;THA;66530980;
Tajikistan;TJK;7209924;
Turkmenistan;TKM;4935765;
Latin America & the Caribbean (IDA & IBRD countries);TLA;560624662;
Timor-Leste;TLS;1055428;
Middle East & North Africa (IDA & IBRD countries);TMN;317576769;
Tonga;TON;103384;
South Asia (IDA & IBRD);TSA;1592010815;
Sub-Saharan Africa (IDA & IBRD countries);TSS;822945490;
Trinidad and Tobago;TTO;1314449;
Tunisia;TUN;10414425;
Turkey;TUR;70418612;
Tuvalu;TUV;10315;
Tanzania;TZA;41853944;
Uganda;UGA;30431734;
Ukraine;UKR;46258189;
Upper middle income;UMC;2314522710;
Uruguay;URY;3340221;
United States;USA;304093966;
Uzbekistan;UZB;27302800;
St. Vincent and the Grenadines;VCT;108401;
Venezuela, RB;VEN;27635827;
British Virgin Islands;VGB;26096;
Virgin Islands (U.S.);VIR;108397;
Vietnam;VNM;86243424;
Vanuatu;VUT;224700;
World;WLD;6757000414;
Samoa;WSM;183270;
Kosovo;XKX;1747383;
Yemen, Rep.;YEM;21892149;
South Africa;ZAF;49779472;
Zambia;ZMB;12848531;
Zimbabwe;ZWE;12379553;
